iter	F1	Logloss
468	0.8763056729	0.2760174621
469	0.8764378831	0.2759458956
470	0.8764976307	0.2758801132
471	0.8766616924	0.2757773759
472	0.8767478931	0.275749311
473	0.8768105558	0.2757029825
474	0.8768369958	0.2756405106
475	0.8769094292	0.2755826139
476	0.8769358666	0.2755017669
477	0.8769996311	0.2754137409
478	0.8769271935	0.2753713738
479	0.8770510706	0.275330848
480	0.8770565214	0.275291996
481	0.8770912985	0.2752248932
482	0.8770217445	0.2751731153
483	0.876985524	0.2751469475
484	0.8770912985	0.2750740977
485	0.8769786347	0.2750084641
486	0.8771413069	0.2748998311
487	0.877160562	0.274840242
488	0.8772177661	0.2747974286
489	0.877224667	0.2747465993
490	0.8773916751	0.2746654918
491	0.8774319393	0.2745928281
492	0.8774152612	0.2745172816
493	0.87753508	0.2744506436
494	0.8774945967	0.2743997771
495	0.8776337347	0.2742915719
496	0.8776239722	0.2741831249
497	0.8776127871	0.2741037285
498	0.8775989499	0.2740753288
499	0.8776670995	0.2740270847
500	0.8776142093	0.2740050643
501	0.8776935442	0.2739546069
502	0.8778452755	0.2738586208
503	0.8779510375	0.2737648665
504	0.8779148433	0.2737126423
505	0.8779149683	0.2736316651
506	0.877828735	0.2735326288
507	0.8779804058	0.2734483783
508	0.8779692469	0.2733821496
509	0.877912146	0.2732959462
510	0.8779997978	0.2732442613
511	0.8780429197	0.2731919814
512	0.8780276409	0.2730980969
513	0.8781305704	0.2729105139
514	0.8781055394	0.272809283
515	0.8782419072	0.2727586583
516	0.878193186	0.2727100608
517	0.8782515991	0.2726040874
518	0.87826829	0.2725752227
519	0.8783837707	0.2725456327
520	0.8782919295	0.2724636326
521	0.8782863797	0.2724255432
522	0.8782766356	0.2723865796
523	0.8782989185	0.2723380007
524	0.8784505529	0.2722615243
525	0.8785395743	0.2722091327
526	0.8786355488	0.2721441872
527	0.87850063	0.2720920375
528	0.8786689383	0.2719518059
529	0.8786772861	0.2719001582
530	0.8786759019	0.2718416664
531	0.8786480878	0.2718041721
532	0.878744074	0.2717708253
533	0.8787705031	0.2717453455
534	0.8787858216	0.271721521
535	0.878880435	0.2716359128
536	0.878944397	0.2715961309
537	0.8788748388	0.2715688099
538	0.8790361468	0.2714631713
539	0.879109805	0.2714316657
540	0.8790931036	0.2714044005
541	0.8791542959	0.271321024
542	0.8791459449	0.271269116
543	0.8792030398	0.2712388007
544	0.8792669638	0.2712003951
545	0.879268327	0.2711899056
546	0.8792920215	0.2710823886
547	0.8792405434	0.2710497856
548	0.8793809951	0.2709704079
549	0.8794157675	0.2709428079
550	0.87940198	0.2708683587
551	0.8793852711	0.270835514
552	0.8795675112	0.270740216
553	0.8795745148	0.2706952452
554	0.8794758214	0.2706239577
555	0.8796149487	0.2705764389
556	0.8795121847	0.2705329002
557	0.8795510345	0.2704724369
558	0.8795675112	0.2703800403
559	0.8795119579	0.2703205255
560	0.8796176512	0.2702445699
561	0.8796648373	0.2701695069
562	0.8797120146	0.2701425579
563	0.8797872295	0.2700889202
564	0.8798066345	0.2700142292
565	0.8799470757	0.2699713228
566	0.879998569	0.2698614809
567	0.8800166253	0.269820453
568	0.8801015625	0.2697254526
569	0.8801306449	0.2696926637
570	0.88006545	0.2696361991
571	0.8801142836	0.2695689474
572	0.8801838475	0.2694966184
573	0.8802296523	0.269442925
574	0.8802089363	0.2694124609
575	0.8804123455	0.2693047578
576	0.8805070265	0.2692755212
577	0.8804625469	0.2692135514
578	0.8805360879	0.2690991902
579	0.8805431363	0.2690377412
580	0.8805585536	0.269019924
581	0.8804999795	0.2689365289
582	0.8806307691	0.2688936411
583	0.8805862942	0.2688439277
584	0.8805515041	0.2687691252
585	0.8805611903	0.2686760404
586	0.8805625086	0.2686001591
587	0.8805193537	0.2685521939
588	0.8805554597	0.2685290948
589	0.8806611345	0.2684704356
590	0.8807623683	0.2684327925
591	0.8807584351	0.2683361554
592	0.8807430104	0.2682695733
593	0.880831931	0.268237082
594	0.8809143159	0.2681382132
595	0.8809226862	0.2681086976
596	0.8809574729	0.2680518238
597	0.8809098635	0.2679913791
598	0.8808055175	0.2678669561
599	0.8807874717	0.2678043913
600	0.8809472548	0.267751479
601	0.8810541972	0.2676634157
602	0.8810780064	0.2676007951
603	0.8810793062	0.2675584652
604	0.8812532052	0.2674361996
605	0.8811946073	0.2673767779
606	0.8812641633	0.2673208712
607	0.8812892779	0.2672748775
608	0.8812796136	0.2672451573
609	0.8812712418	0.2671821833
610	0.8812532052	0.2671551413
611	0.8814953871	0.2670619263
612	0.8815875156	0.2669428225
613	0.8815372613	0.2669143484
614	0.8815179423	0.2668215426
615	0.8816235833	0.2667856478
616	0.8816718621	0.2667087808
617	0.8817162971	0.2666531717
618	0.8816022995	0.2666044812
619	0.881705366	0.2665396101
620	0.8819501204	0.266463859
621	0.8819488512	0.2664212316
622	0.8819404725	0.2663910279
623	0.8820255332	0.2663208005
624	0.882069965	0.2662571941
625	0.8820146194	0.2662227128
626	0.8820422934	0.2661905934
627	0.8821311558	0.2660968391
628	0.8821562986	0.2660361341
629	0.8822137107	0.26593561
630	0.882288322	0.2658715386
631	0.8823180829	0.2657851493
632	0.8823335946	0.2657720188
633	0.8821931635	0.2657117416
634	0.8823000589	0.2656573042
635	0.8822723927	0.2656176711
636	0.8822761667	0.2655759364
637	0.8822703	0.2655345736
638	0.8822476719	0.2654794481
639	0.88234615	0.2654367091
640	0.882365422	0.2653841873
641	0.8824529959	0.2653320561
642	0.8824961573	0.2652906004
643	0.8824865248	0.2652652509
644	0.8825427101	0.265212041
645	0.8825535903	0.2651806283
646	0.8826327868	0.2651558739
647	0.8827983169	0.2650708608
648	0.8826734672	0.2650243836
649	0.8827358944	0.2649743354
650	0.8826747109	0.2649162899
651	0.8826483114	0.2648782191
652	0.8827334113	0.2648060575
653	0.8827178811	0.2647255824
654	0.8827442803	0.2647048638
655	0.8829687818	0.2646235518
656	0.8829566948	0.2645976443
657	0.882935237	0.2645397662
658	0.8828979883	0.2645121291
659	0.8829364712	0.2644617833
660	0.8829184656	0.2644071785
661	0.8829460907	0.2643875015
662	0.8829460907	0.2643155631
663	0.8831475874	0.2642467677
664	0.8831044255	0.264199063
665	0.8830768081	0.2641508746
666	0.883143907	0.2641112043
667	0.8832314668	0.263972907
668	0.8831895251	0.2638972674
669	0.8831619096	0.2638547144
670	0.8831175159	0.2637899735
671	0.8830694313	0.2637085871
672	0.8832554107	0.2635831598
673	0.8833873644	0.2635390073
674	0.8833861459	0.2634513905
675	0.8832985819	0.2634076472
676	0.8832818022	0.2633919129
677	0.883389801	0.2633721987
678	0.8833513645	0.2633369734
679	0.8833705837	0.2633185796
680	0.8834329693	0.2632878551
681	0.8834761387	0.2632558474
682	0.8835013123	0.263192241
683	0.8834845298	0.2631554721
684	0.8834845298	0.2631141651
685	0.8835732966	0.2630770986
686	0.8836368799	0.2630378747
687	0.8836776315	0.2629713297
688	0.8837663863	0.2629225091
689	0.8838359413	0.2628945557
690	0.8838707191	0.2628612461
691	0.8839138917	0.2628096728
692	0.8839690543	0.2627303695
693	0.8839438715	0.2626584124
694	0.8839882378	0.2626379728
695	0.8840685697	0.2625871621
696	0.8841812832	0.2624892604
697	0.8842627887	0.2624596146
698	0.8844282456	0.2623692824
699	0.88442103	0.2623389485
700	0.8844198483	0.2622870591
701	0.8843718344	0.2622437249
702	0.8843682843	0.2621830013
703	0.8842772071	0.2621641053
704	0.8843970223	0.2620848206
705	0.8844761336	0.2620301972
706	0.8845648157	0.2619101076
707	0.8846068039	0.2618610823
708	0.8848044508	0.2617934029
709	0.8847493842	0.2617777617
710	0.8848739743	0.2617529701
711	0.8849458244	0.261724403
712	0.8850008669	0.2616786325
713	0.8850069448	0.2615909598
714	0.8849829076	0.2615770111
715	0.8848931025	0.2614729161
716	0.8849015014	0.2613975183
717	0.8848679065	0.2613174152
718	0.8848583423	0.2612921587
719	0.8850619819	0.2612531579
720	0.8849733468	0.2612122415
721	0.8849829076	0.2611147118
722	0.8850834133	0.2610986986
723	0.88500667	0.2610594932
724	0.8850269448	0.2610294941
725	0.885094127	0.2609656273
726	0.8851074535	0.2609258641
727	0.8850750145	0.2608589286
728	0.8851468314	0.2608243542
729	0.8852881368	0.2607825079
730	0.8853935316	0.2607444743
731	0.8853660357	0.2606693927
732	0.8852510844	0.260648172
733	0.8854573064	0.2605218334
734	0.8854909179	0.2604287486
735	0.8855543098	0.260372284
736	0.8856092892	0.2603367984
737	0.88561997	0.2602992297
738	0.8855588741	0.2602585923
739	0.8856115675	0.2602027414
740	0.8856272341	0.260164001
741	0.8856524439	0.2600839351
742	0.8856955997	0.2600136519
743	0.8856933271	0.2599573175
744	0.885736487	0.2599209949
745	0.8857807812	0.2598851745
746	0.8858273368	0.2598618708
747	0.8857567001	0.2598517719
748	0.8858093949	0.2597599518
749	0.885772376	0.2597233688
750	0.8858704938	0.2596900406
751	0.8858048655	0.2596096027
752	0.88584916	0.2595442667
753	0.8859057501	0.2594857004
754	0.8858962127	0.2594358568
755	0.8858950832	0.2593663176
756	0.8858423729	0.2592979128
757	0.8858435043	0.2592594142
758	0.8858530431	0.259223631
759	0.8858519121	0.2591979095
760	0.885915287	0.2591582578
761	0.8859141582	0.2591319225
762	0.8858732495	0.259090504
763	0.8859164157	0.2590573989
764	0.8859534296	0.2590226944
765	0.8860167858	0.2589662298
766	0.8861322624	0.2588988107
767	0.8862494286	0.258839761
768	0.8864086197	0.258789099
769	0.8862937127	0.2587392555
770	0.886299893	0.2586642297
